sic8,is_1to1_NAICS,Description,Baseline_Subindustry,Division,span_warn,Crosslisting,L1,L2,L3,L4,NAICS_Suggestion,METRO_ACS0812,NAICS,Notes,Baseline_Type,SIC4,SIC2,bundle_rep,flag____,strong,exists,misuse_warn,disfavored_warn,dubious_warn,ambiguous_warn
10410203,Y,Gold recovery from tailings,"",Mining,0,,OOS,EXTRACT,ORE,EOP,,,"",,"",1041,10,1,N,Y,Y,0,0,0,0
82110701,,Charter elementary schools,,Services,0,,OOS,EDU,DNSNEC,EOP,,,,,,8211,82,1,N,Y,Y,0,0,0,0
82110700,,Charter schools,,Services,0,,OOS,EDU,DNSNEC,EOP,,,,,,8211,82,1,N,Y,Y,0,0,0,0
95319900,Y,"Housing programs, nec","",Public Administration,0,,SOCIAL,GROUP,OPERATE,HOMELESS,,,"",,"",9531,95,1,N,Y,Y,0,0,0,0
16229903,N,Tunnel construction,"",Construction,0,,CON,FLAT,STREET,BRIDGE,,,,,"",1622,16,1,N,Y,Y,0,0,0,0
16230301,N,Aqueduct construction,"",Construction,0,,CON,FLAT,UTIL,WATER,,,,,"",1623,16,1,N,Y,Y,0,0,0,0
16230101,N,Gas main construction,"",Construction,0,,CON,FLAT,UTIL,PIPE.S,,,,,"",1623,16,1,N,Y,Y,0,0,0,0
16230100,N,Oil and gas line and compressor station constructi,"",Construction,1,,CON,FLAT,UTIL,PIPE.S,,,,,"",1623,16,1,N,Y,Y,0,0,0,0
16229904,N,Viaduct construction,"",Construction,0,,CON,FLAT,STREET,BRIDGE,,,,,"",1622,16,1,N,Y,Y,0,0,0,0
16229902,N,"Highway construction, elevated","",Construction,0,,CON,FLAT,STREET,BRIDGE,,,,,"",1622,16,1,N,Y,Y,0,0,0,0
07830204,Y,"Surgery services, ornamental tree","","Agriculture, Forestry, And Fishing",0,,CON,LAWN,LAWN.S,EOP,,,"",,"",0783,07,1,N,Y,Y,0,0,0,0
07830101,Y,"Planting services, ornamental bush","","Agriculture, Forestry, And Fishing",0,,CON,LAWN,LAWN.S,EOP,,,"",,"",0783,07,1,N,Y,Y,0,0,0,0
01810000,N,Ornamental nursery products,"","Agriculture, Forestry, And Fishing",0,,CON,LAWN,PLANT,EOP,,,,,"",0181,01,1,N,Y,Y,0,0,0,0
01810100,N,"Plants, foliage and shrubberies","","Agriculture, Forestry, And Fishing",0,,CON,LAWN,PLANT,EOP,,,,,"",0181,01,1,N,Y,Y,0,0,0,0
07110000,Y,Soil preparation services,"","Agriculture, Forestry, And Fishing",0,,CON,LAWN,LAWN.S,EOP,,,"",,"",0711,07,1,N,Y,Y,0,0,0,0
32530100,Y,Clay wall and floor tile,"",Manufacturing,0,,CON,OCON,BOUND,WALL.G,,,"",,"",3253,32,1,N,Y,Y,0,0,0,0
10410100,Y,Gold ores mining,"",Mining,0,,OOS,EXTRACT,ORE,EOP,,,"",,"",1041,10,1,N,Y,Y,0,0,0,0
13110000,Y,Crude petroleum and natural gas,"",Mining,0,,NEC,GOODS,PETRO,MIN,,,"",,"",1311,13,1,N,Y,Y,0,0,0,0
14590101,Y,Bentonite mining,"",Mining,0,,OOS,EXTRACT,AGG,EOP,,,"",,"",1459,14,1,N,Y,Y,0,0,0,0
39520205,N,"Canvas board, artists''","",Manufacturing,0,,FUN,ART,GOODS,EOP,,,,,"",3952,39,1,N,Y,Y,0,0,0,0
34480100,Y,Prefabricated metal buildings,"",Manufacturing,0,,CON,TURNKEY,EOP,EOP,,,"",,"",3448,34,1,N,Y,Y,0,0,0,0
22110514,Y,"Rep, cotton","",Manufacturing,0,,NEC,GOODS,TEXT,DNSNEC,,,"",,"",2211,22,1,N,Y,Y,0,0,0,0
22111105,Y,Canvas,"",Manufacturing,0,,NEC,GOODS,TEXT,DNSNEC,,,"",,"",2211,22,1,N,Y,Y,0,0,0,0
22210501,Y,Fiberglass fabrics,"",Manufacturing,0,,NEC,GOODS,TEXT,MIN,,,"",,"",2221,22,1,N,Y,Y,0,0,0,0
22520103,N,Socks,"",Manufacturing,0,,NEC,GOODS,TEXT,DNSNEC,,,,,"",2252,22,1,N,Y,Y,0,0,0,0
22730000,Y,Carpets and rugs,"",Manufacturing,0,,CON,OCON,BOUND,FLOOR.G,,,"",,"",2273,22,1,N,Y,Y,0,0,0,0
22999901,N,"Broadwoven fabrics: linen, jute, hemp, and ramie","",Manufacturing,0,,NEC,GOODS,TEXT,MIN,,,,,"",2299,22,1,N,Y,Y,0,0,0,0
23290102,N,Bathing suits and swimwear: men's and boys',"",Manufacturing,0,,NEC,GOODS,TEXT,SPORT,,,,,"",2329,23,1,N,Y,Y,0,0,0,0
23390301,N,"Athletic clothing: women''s, misses'', and juniors''","",Manufacturing,0,,NEC,GOODS,TEXT,SPORT,,,,,"",2339,23,1,N,Y,Y,0,0,0,0
23530000,N,"Hats, caps, and millinery","",Manufacturing,0,,NEC,GOODS,TEXT,CASUAL,,,,,"",2353,23,1,N,Y,Y,0,0,0,0
23940100,Y,Canvas awnings and canopies,"",Manufacturing,0,,NEC,GOODS,TEXT,DNSNEC,,,"",,"",2394,23,1,N,Y,Y,0,0,0,0
23940101,Y,"Awnings, fabric: made from purchased materials","",Manufacturing,0,,CON,OCON,BOUND,ROOF.G,,,"",,"",2394,23,1,N,Y,Y,0,0,0,0
16110101,Y,"Guardrail construction, highways","Fencing, guardrails, barriers, and signs",Construction,0,,CON,FLAT,STREET,GUARD,,,"",,C,1611,16,1,N,Y,Y,0,0,0,0
